Feature,Gini Importance,Rank
radiant_team_gold_lead,0.09240782012132706,1
radiant_team_xp_lead,0.06731617478718933,2
radiant_carries_gold_lead,0.026981384193540195,3
radiant_carries_xp_lead,0.018871012290124126,4
r4_gold_lead,0.016068731269366008,5
r5_gold_lead,0.01604750630797258,6
r3_gold_lead,0.01516775412132057,7
r1_gold_lead,0.013294897354484464,8
r2_gold_lead,0.012878150079483482,9
r4_xp_lead,0.012664182156019938,10
r3_xp_lead,0.011759636540489251,11
r5_xp_lead,0.01130951175329825,12
r4_deaths_lead,0.011252850392269392,13
r5_hero_winrate,0.010431575909048144,14
d3_hero_winrate,0.01042654607911343,15
r5_deaths_lead,0.010393181996592558,16
r4_hero_winrate,0.010349448278081912,17
d2_hero_winrate,0.010098694114012947,18
d4_hero_winrate,0.0099197038443378,19
d1_hero_winrate,0.009899632148349454,20
r3_hero_winrate,0.009868333300144472,21
r3_health_lead,0.009861736419523776,22
d5_hero_winrate,0.009847412092748175,23
r3_deaths_lead,0.009654351523461741,24
r2_hero_winrate,0.009616463400403508,25
radiant_carry_%_total_gold,0.009602145687360954,26
r1_hero_winrate,0.009593802079386864,27
r2_xp_lead,0.009477780709497003,28
r4_health_lead,0.00932191910963304,29
r1_xp_lead,0.009290301231101484,30
r5_health_lead,0.009082100103549645,31
r2_deaths_lead,0.008859692122071558,32
radiant_team_gold,0.008817329708247897,33
r1_health_lead,0.00875652494759252,34
game_time,0.008679812807718255,35
r3_max_mana_lead,0.00866986500200541,36
r4_max_mana_lead,0.008666348389330909,37
r2_health_lead,0.008655864899165736,38
r1_max_mana_lead,0.008514913477297504,39
radiant_carry_%_team_gold,0.008514095856791014,40
r4_max_health_lead,0.008494454544550887,41
r5_max_mana_lead,0.008476932100068469,42
radiant_team_xp,0.00836667792435393,43
r1_deaths_lead,0.008339033067377329,44
r2_max_mana_lead,0.008286525086956126,45
r3_max_health_lead,0.008222476121221178,46
r2_assists_lead,0.008088186016708371,47
r5_max_health_lead,0.008027173886135257,48
r2_max_health_lead,0.007974807258259985,49
r1_max_health_lead,0.007663607340754259,50
r5_lh_lead,0.007543516564801922,51
r4_teamfight_participation_lead,0.007380195121486063,52
r3_lh_lead,0.007374069230124343,53
r3_teamfight_participation_lead,0.007349964709760109,54
r3_stuns_lead,0.007291360040503775,55
r4_lh_lead,0.007220619758219251,56
r2_teamfight_participation_lead,0.007171826841658192,57
r1_teamfight_participation_lead,0.00714962428119639,58
r5_teamfight_participation_lead,0.007087053661457563,59
r4_stuns_lead,0.007050029874487699,60
r5_stuns_lead,0.007039899169043139,61
r1_stuns_lead,0.006994938403271784,62
r1_assists_lead,0.00687612189673748,63
r1_lh_lead,0.0068550241256237635,64
r3_denies_lead,0.006808150497125924,65
r2_stuns_lead,0.006792467972507434,66
r2_lh_lead,0.006784969090171665,67
r4_level_lead,0.006728100166711055,68
r5_denies_lead,0.0067087529159925805,69
r4_denies_lead,0.0066208293197199475,70
r4_kills_lead,0.006536269882930539,71
r3_level_lead,0.0065105087913332835,72
r1_denies_lead,0.006382948471350116,73
r2_denies_lead,0.006378075925974602,74
r4_assists_lead,0.006339670028559695,75
r3_assists_lead,0.006289640193820905,76
r5_rune_pickups_lead,0.006005038856187214,77
r5_level_lead,0.006003298492527275,78
r5_assists_lead,0.006001753152114249,79
r2_rune_pickups_lead,0.0059864981858932876,80
r3_rune_pickups_lead,0.005815456629772943,81
r4_rune_pickups_lead,0.005744862591352156,82
r3_kills_lead,0.005730236670759144,83
r1_rune_pickups_lead,0.0056959215913863406,84
r5_kills_lead,0.0052592135358076955,85
r2_kills_lead,0.00480970344892919,86
r1_level_lead,0.004708359704969879,87
r2_level_lead,0.0046248350460807944,88
r1_kills_lead,0.004623879100786183,89
objectives_len,0.004220461546371933,90
r2_obs_placed_lead,0.003881091896578971,91
r4_obs_placed_lead,0.003858807328626929,92
r5_obs_placed_lead,0.0038354159745981743,93
r3_obs_placed_lead,0.003824574613735412,94
r1_obs_placed_lead,0.0036795712325980974,95
r4_creeps_stacked_lead,0.003017535837693447,96
r2_sen_placed_lead,0.002986794409472358,97
r3_sen_placed_lead,0.0029795653203200548,98
r3_creeps_stacked_lead,0.0029443804074417886,99
r1_sen_placed_lead,0.002924706827667667,100
r2_creeps_stacked_lead,0.0029218722123095153,101
r5_creeps_stacked_lead,0.0028760854583037235,102
r5_sen_placed_lead,0.0028461819196218584,103
r4_sen_placed_lead,0.0027961354645482514,104
r1_creeps_stacked_lead,0.0027141418736949924,105
r3_towers_killed_lead,0.002526105407653676,106
r5_towers_killed_lead,0.002451331298481913,107
r4_towers_killed_lead,0.002444278165732626,108
r2_towers_killed_lead,0.0022836639707750654,109
game_mode,0.002220416417807499,110
r5_camps_stacked_lead,0.0022109608109525856,111
r4_camps_stacked_lead,0.002196140425160684,112
r2_camps_stacked_lead,0.0021320561981344735,113
r1_towers_killed_lead,0.002112515108489911,114
r3_camps_stacked_lead,0.0021039665701503875,115
r1_camps_stacked_lead,0.002077316913747734,116
r5_firstblood_claimed_lead,0.0013636222136867878,117
r4_firstblood_claimed_lead,0.0013400657495233653,118
r3_firstblood_claimed_lead,0.0013338181260352387,119
r2_firstblood_claimed_lead,0.0012780798037255548,120
r1_firstblood_claimed_lead,0.0012562703953704175,121
lobby_type,0.0010053855864648222,122
r3_roshans_killed_lead,0.000539607054715055,123
r2_roshans_killed_lead,0.0004848219497844761,124
r4_roshans_killed_lead,0.00044536198486205966,125
r5_roshans_killed_lead,0.00041566233802346894,126
r1_roshans_killed_lead,0.00036848729616538906,127
