Feature,Gini Importance,Rank
radiant_team_gold_lead,0.08966382916415402,1
radiant_team_xp_lead,0.06743072883258576,2
radiant_carries_gold_lead,0.026419451020232958,3
radiant_carries_xp_lead,0.018496221779823827,4
r4_gold_lead,0.016886459510838954,5
r3_gold_lead,0.01580801948217075,6
r5_gold_lead,0.015582952236036538,7
r1_gold_lead,0.013397238383112867,8
r3_xp_lead,0.012429377784796103,9
r2_gold_lead,0.012276973978559674,10
r4_xp_lead,0.011858241749722848,11
r4_deaths_lead,0.011307953964425636,12
r5_xp_lead,0.01123301823490294,13
r5_deaths_lead,0.010602576301421536,14
r5_hero_winrate,0.010259640421859428,15
d2_hero_winrate,0.010227139675826358,16
r3_deaths_lead,0.010214816997521622,17
d5_hero_winrate,0.01008592954604569,18
d1_hero_winrate,0.010051241240030631,19
r4_hero_winrate,0.010050596427317138,20
d3_hero_winrate,0.01004241676339459,21
d4_hero_winrate,0.009831969416567757,22
r2_hero_winrate,0.009754200893993599,23
radiant_carry_%_total_gold,0.009688956112162075,24
r3_hero_winrate,0.009667162939597938,25
r1_hero_winrate,0.009641972197815873,26
r3_health_lead,0.009477280135481445,27
r5_health_lead,0.00928387160152027,28
r4_health_lead,0.009191391148224868,29
r1_xp_lead,0.009147083489244496,30
r2_xp_lead,0.009098073177553703,31
radiant_team_gold,0.009015619567814246,32
r2_deaths_lead,0.00889401379394974,33
r2_health_lead,0.008867115279429462,34
game_time,0.008863529353622297,35
r3_max_mana_lead,0.008829282471459412,36
r4_max_health_lead,0.008663197114571065,37
r5_max_mana_lead,0.008590825676897673,38
r4_max_mana_lead,0.008560747629163985,39
r1_health_lead,0.008539098296927955,40
r1_max_mana_lead,0.00852133231460391,41
radiant_carry_%_team_gold,0.00850964033381106,42
r2_max_mana_lead,0.008419512395757795,43
radiant_team_xp,0.008341722624112417,44
r1_deaths_lead,0.008158371381117522,45
r5_max_health_lead,0.00814277310087466,46
r2_assists_lead,0.008111388859200435,47
r3_max_health_lead,0.008084559203215337,48
r2_max_health_lead,0.00793978064819751,49
r1_max_health_lead,0.007727339270503249,50
r5_lh_lead,0.00752628369400511,51
r3_lh_lead,0.007504419826379092,52
r4_teamfight_participation_lead,0.0074828791426636435,53
r4_lh_lead,0.007425559828251016,54
r3_teamfight_participation_lead,0.007340214188338958,55
r2_teamfight_participation_lead,0.007226458530216411,56
r5_teamfight_participation_lead,0.007208745815231338,57
r1_teamfight_participation_lead,0.0071905642144545895,58
r1_stuns_lead,0.007122462160588628,59
