Feature,Gini Importance,Rank
dire_team_gold_lead,0.0722022737165249,1
dire_team_xp_lead,0.05543427840585599,2
dire_team_deaths_lead,0.03199458359692895,3
dire_carries_gold_lead,0.02054868679084528,4
dire_team_lh_lead,0.020244107854913894,5
dire_carries_xp_lead,0.014710894862698111,6
d4_gold_lead,0.012898748388033503,7
d5_gold_lead,0.012689348330132532,8
d3_gold_lead,0.012094596268224102,9
d1_gold_lead,0.010102632526611853,10
d3_xp_lead,0.010069133661913088,11
d4_xp_lead,0.00991290352651523,12
d5_xp_lead,0.009799031658571785,13
d2_gold_lead,0.009760456128326636,14
d4_deaths_lead,0.00896708424925309,15
d2_xp_lead,0.008007222076648944,16
dire_carry_%_total_gold,0.007972052413010938,17
d1_xp_lead,0.00796546787575543,18
d5_deaths_lead,0.007904282353078537,19
radiant_carry_%_total_gold,0.0077665648912891025,20
d2_deaths_lead,0.007511190764470901,21
d3_deaths_lead,0.007187170581884919,22
d1_deaths_lead,0.006948907058310549,23
dire_carry_%_team_gold,0.006569980689882584,24
radiant_carry_%_team_gold,0.0064287010577757375,25
r3_hero_id,0.006221794886877916,26
d2_hero_id,0.006195296260524051,27
d4_hero_id,0.0061270828873835545,28
d5_hero_id,0.006102674132981177,29
d1_hero_id,0.0060938376795343805,30
r1_hero_id,0.006013024976584253,31
r2_hero_id,0.0060081233605186095,32
d3_health,0.005993477314127664,33
r4_hero_id,0.005985528415500586,34
r5_health,0.005983394871671781,35
r5_hero_id,0.005955734088950774,36
d3_lh_lead,0.005951469575153533,37
d1_health,0.0059234543008679485,38
d4_health,0.005917063315254272,39
d3_hero_id,0.005863685799380231,40
d4_lh_lead,0.005861604449836981,41
d5_lh_lead,0.005860205278714736,42
r1_health,0.0057532155207898564,43
r4_health,0.005751015504158707,44
radiant_team_gold,0.0057485402231408,45
r2_health,0.005695833087364137,46
r3_health,0.005693170445551235,47
dire_team_gold,0.00568903090780858,48
r3_max_mana,0.005677737664442909,49
d2_health,0.00566539395324628,50
d5_health,0.005645917959039143,51
d3_max_mana,0.0056433772958521195,52
r5_max_mana,0.0056091040242737195,53
r4_max_mana,0.005502839569933749,54
d1_max_mana,0.005478659385024475,55
r1_max_mana,0.005457280303449166,56
d4_max_health,0.005439593713418739,57
r2_max_mana,0.00542738355739928,58
d4_max_mana,0.005426473970666507,59
radiant_team_deaths,0.0054104945215724416,60
d5_max_mana,0.005393152786358771,61
r4_max_health,0.0053860179431031545,62
d2_max_mana,0.005379404470798003,63
d2_lh_lead,0.005361821108197353,64
d1_lh_lead,0.00534370257226635,65
d3_max_health,0.00532946103949849,66
d2_max_health,0.005263501121456227,67
r3_max_health,0.005229643928067132,68
r5_max_health,0.005227326176856799,69
dire_team_lh,0.005159313788556048,70
d5_max_health,0.00514029147053892,71
game_time,0.0051337313283608115,72
dire_team_xp,0.005079077549642621,73
dire_team_deaths,0.0050657257532423375,74
r1_max_health,0.00504304900589215,75
radiant_team_lh,0.0050167514359389515,76
r2_max_health,0.00498755549381784,77
d1_max_health,0.004977524504036781,78
radiant_team_xp,0.004977320485912402,79
d3_teamfight_participation,0.004277406395450614,80
r1_teamfight_participation,0.004275576503423861,81
r5_teamfight_participation,0.004171963590902814,82
r4_teamfight_participation,0.004149841521748102,83
d2_teamfight_participation,0.004145748834992935,84
d5_teamfight_participation,0.0041214533284414994,85
r3_teamfight_participation,0.004100408621841393,86
d4_teamfight_participation,0.004057842250985624,87
r2_teamfight_participation,0.00404483200708396,88
d1_teamfight_participation,0.004002600475301215,89
r3_denies,0.0037612621430544936,90
