Feature,Selected,Importance,Ranking
dire_team_gold_lead,True,0.12020666937405211,1
dire_team_xp_lead,True,0.07628886865909201,1
dire_team_deaths_lead,True,0.05247749635191715,1
dire_carries_gold_lead,True,0.032345531415995485,1
dire_team_lh_lead,True,0.03040634828092196,1
d4_gold_lead,True,0.025415210772898357,1
dire_carries_xp_lead,True,0.024603433422662923,1
d5_gold_lead,True,0.023871405893383043,1
d3_gold_lead,True,0.023527749553957877,1
d1_gold_lead,True,0.021733165930378773,1
d4_xp_lead,True,0.02098771512990791,1
d3_xp_lead,True,0.02073252653109732,1
d2_gold_lead,True,0.02049876054162853,1
d5_xp_lead,True,0.020359125283280242,1
d1_xp_lead,True,0.017849961650182267,1
d2_xp_lead,True,0.017818444381668477,1
d2_hero_id,True,0.016342867006214335,1
radiant_team_gold,True,0.0160085454796968,1
r3_hero_id,True,0.01599708838789659,1
r1_hero_id,True,0.015996717846596724,1
d3_health,True,0.015976368061769504,1
d4_health,True,0.015949217156574453,1
r2_hero_id,True,0.01591752720481639,1
d4_hero_id,True,0.015898465968548832,1
d1_hero_id,True,0.01589733547060975,1
r5_hero_id,True,0.015796389698822903,1
dire_team_gold,True,0.015750109064802655,1
r3_health,True,0.015710030771048964,1
d5_hero_id,True,0.01566202954882221,1
game_time,True,0.015611922238446242,1
r4_hero_id,True,0.015568473170051177,1
r5_health,True,0.015563468745148683,1
r2_health,True,0.015511132624255904,1
d2_health,True,0.015399187271188807,1
d5_health,True,0.015379225533295838,1
d3_hero_id,True,0.015378555814696061,1
d1_health,True,0.01537531158950221,1
d3_max_mana,True,0.015347743769242696,1
r1_max_mana,True,0.015289637067882613,1
r4_max_mana,True,0.015241924857153328,1
r2_max_mana,True,0.014998965071748274,1
d3_lh_lead,True,0.014940473786314787,1
r5_max_mana,True,0.014888739302929175,1
d5_max_mana,True,0.014871235154393873,1
r1_health,True,0.01460889916450588,1
r1_firstblood_claimed,False,0.0,53
r1_towers_killed,False,0.0,52
r3_towers_killed,False,0.0,47
r1_rune_pickups,False,0.0,25
r1_stuns,False,0.0,22
r1_level,False,0.0,34
r1_max_health,False,0.0,8
r1_denies,False,0.0,20
r1_kills,False,0.0,36
r1_assists,False,0.0,28
game_mode,False,0.0,44
objectives_len,False,0.0,33
r2_max_health,False,0.0,10
r2_assists,False,0.0,29
r2_denies,False,0.0,19
r2_kills,False,0.0,37
r1_sen_placed,False,0.0,49
r1_teamfight_participation,False,0.0,11
r2_teamfight_participation,False,0.0,14
r2_firstblood_claimed,False,0.0,54
r2_obs_placed,False,0.0,42
r2_towers_killed,False,0.0,52
r2_sen_placed,False,0.0,45
r3_kills,False,0.0,30
r3_assists,False,0.0,36
r3_denies,False,0.0,16
r3_max_health,False,0.0,8
r3_max_mana,False,0.0,4
r3_level,False,0.0,30
r2_level,False,0.0,32
r2_stuns,False,0.0,17
r2_rune_pickups,False,0.0,23
r1_obs_placed,False,0.0,42
chat_len,False,0.0,22
r5_sen_placed,False,0.0,46
r5_obs_placed,False,0.0,41
r5_towers_killed,False,0.0,48
r5_teamfight_participation,False,0.0,11
r5_firstblood_claimed,False,0.0,53
r5_rune_pickups,False,0.0,24
r5_stuns,False,0.0,21
r5_level,False,0.0,29
r5_max_health,False,0.0,5
r5_denies,False,0.0,21
r5_kills,False,0.0,37
r5_assists,False,0.0,27
r4_sen_placed,False,0.0,47
r4_teamfight_participation,False,0.0,13
r4_towers_killed,False,0.0,50
r4_obs_placed,False,0.0,40
r4_kills,False,0.0,35
r4_health,False,0.0,2
r4_denies,False,0.0,16
r4_firstblood_claimed,False,0.0,54
r4_rune_pickups,False,0.0,24
r4_stuns,False,0.0,19
r4_level,False,0.0,27
r4_max_health,False,0.0,7
r3_obs_placed,False,0.0,40
r3_sen_placed,False,0.0,46
r4_assists,False,0.0,27
r3_stuns,False,0.0,16
r3_rune_pickups,False,0.0,24
r3_firstblood_claimed,False,0.0,53
r3_teamfight_participation,False,0.0,12
d1_firstblood_claimed,False,0.0,55
d3_kills,False,0.0,33
d2_sen_placed,False,0.0,48
d2_obs_placed,False,0.0,42
d2_towers_killed,False,0.0,51
d2_firstblood_claimed,False,0.0,52
d3_level,False,0.0,30
d3_max_health,False,0.0,7
d3_denies,False,0.0,17
d3_rune_pickups,False,0.0,25
d3_firstblood_claimed,False,0.0,55
d3_towers_killed,False,0.0,49
d1_stuns,False,0.0,18
d1_level,False,0.0,31
d1_max_health,False,0.0,6
d1_denies,False,0.0,20
d1_assists,False,0.0,25
d1_sen_placed,False,0.0,46
d1_obs_placed,False,0.0,41
d2_assists,False,0.0,29
d2_kills,False,0.0,36
d2_max_health,False,0.0,6
d2_max_mana,False,0.0,3
d2_level,False,0.0,32
d2_denies,False,0.0,17
d2_stuns,False,0.0,22
d2_rune_pickups,False,0.0,23
d2_teamfight_participation,False,0.0,15
d1_rune_pickups,False,0.0,23
d1_teamfight_participation,False,0.0,14
d1_towers_killed,False,0.0,49
d1_max_mana,False,0.0,2
d1_kills,False,0.0,38
d5_denies,False,0.0,15
d5_assists,False,0.0,31
d5_kills,False,0.0,35
d4_sen_placed,False,0.0,48
d4_towers_killed,False,0.0,51
d4_obs_placed,False,0.0,39
d4_teamfight_participation,False,0.0,12
d4_firstblood_claimed,False,0.0,54
d4_max_mana,False,0.0,4
d4_rune_pickups,False,0.0,26
d4_stuns,False,0.0,18
d4_level,False,0.0,28
d4_denies,False,0.0,18
d4_max_health,False,0.0,5
d4_kills,False,0.0,33
d4_assists,False,0.0,28
d3_assists,False,0.0,26
d3_stuns,False,0.0,19
d3_sen_placed,False,0.0,45
d3_obs_placed,False,0.0,41
d3_teamfight_participation,False,0.0,12
d5_towers_killed,False,0.0,51
radiant_team_xp,False,0.0,8
dire_team_xp,False,0.0,11
d5_obs_placed,False,0.0,39
d5_firstblood_claimed,False,0.0,55
d5_teamfight_participation,False,0.0,14
d5_stuns,False,0.0,20
d5_level,False,0.0,35
d5_sen_placed,False,0.0,47
d5_rune_pickups,False,0.0,21
d5_max_health,False,0.0,7
dire_team_deaths,False,0.0,15
radiant_team_lh,False,0.0,10
dire_team_lh,False,0.0,10
dire_team_creeps_stacked_lead,False,0.0,13
dire_team_creeps_stacked,False,0.0,31
radiant_team_creeps_stacked,False,0.0,32
dire_team_camps_stacked_lead,False,0.0,26
radiant_team_camps_stacked,False,0.0,43
dire_team_roshans_killed,False,0.0,50
dire_team_camps_stacked,False,0.0,40
dire_team_roshans_killed_lead,False,0.0,37
radiant_team_roshans_killed,False,0.0,50
d1_deaths_lead,False,0.0,9
d1_lh_lead,False,0.0,4
d1_creeps_stacked_lead,False,0.0,39
radiant_team_deaths,False,0.0,13
d2_lh_lead,False,0.0,6
d2_deaths_lead,False,0.0,9
d2_camps_stacked_lead,False,0.0,44
d2_creeps_stacked_lead,False,0.0,34
d1_camps_stacked_lead,False,0.0,45
d3_creeps_stacked_lead,False,0.0,38
d3_deaths_lead,False,0.0,9
d3_camps_stacked_lead,False,0.0,43
d4_creeps_stacked_lead,False,0.0,34
d4_camps_stacked_lead,False,0.0,43
d4_deaths_lead,False,0.0,2
d4_lh_lead,False,0.0,3
d5_camps_stacked_lead,False,0.0,44
d5_creeps_stacked_lead,False,0.0,38
d5_lh_lead,False,0.0,3
d5_deaths_lead,False,0.0,5
